    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
   32768   1024 f16   smem  native    32    1    32768     32    0.3543     378.8    84.6%
   32768   1024 f16   smem  native    32    4    32768    128    0.3498     383.7    85.6%
   32768   1024 f16   smem  native    32   16    32768    512    0.3751     357.8    79.9%
   32768   1024 f16   smem  native    32    1    32768     32    0.3539     379.3    84.7%
   32768   1024 f16   smem  native    32    4    32768    128    0.3491     384.4    85.8%
   32768   1024 f16   smem  native    32   16    32768    512    0.3697     363.0    81.0%
   32768   1024 bf16  smem  native    32    1    32768     32    0.3537     379.4    84.7%
   32768   1024 bf16  smem  native    32    4    32768    128    0.3491     384.5    85.8%
   32768   1024 bf16  smem  native    32   16    32768    512    0.3700     362.8    81.0%
   32768   1024 bf16  smem  native    32    1    32768     32    0.3534     379.8    84.8%
   32768   1024 bf16  smem  native    32    4    32768    128    0.3490     384.6    85.8%
   32768   1024 bf16  smem  native    32   16    32768    512    0.3741     358.8    80.1%
   32768   1024 bf16  smem  native    32    1    32768     32    0.3536     379.6    84.7%
   32768   1024 bf16  smem  native    32    4    32768    128    0.3488     384.8    85.9%
   32768   1024 bf16  smem  native    32   16    32768    512    0.3732     359.6    80.3%
  131072   1024 f16   smem  native    32    1   131072     32    1.4326     374.8    83.6%
  131072   1024 f16   smem  native    32    4   131072    128    1.4111     380.5    84.9%
  131072   1024 f16   smem  native    32   16   131072    512    1.4894     360.5    80.5%
  131072   1024 f16   smem  native    32    1   131072     32    1.4239     377.1    84.2%
  131072   1024 f16   smem  native    32    4   131072    128    1.4069     381.6    85.2%
  131072   1024 f16   smem  native    32   16   131072    512    1.4921     359.8    80.3%
  131072   1024 f16   smem  native    32    1   131072     32    1.4281     375.9    83.9%
  131072   1024 f16   smem  native    32    4   131072    128    1.4119     380.2    84.9%
  131072   1024 f16   smem  native    32   16   131072    512    1.4953     359.0    80.1%
  131072   1024 bf16  smem  native    32    1   131072     32    1.4321     374.9    83.7%
  131072   1024 bf16  smem  native    32    4   131072    128    1.4113     380.4    84.9%
  131072   1024 bf16  smem  native    32   16   131072    512    1.4929     359.6    80.3%
  131072   1024 bf16  smem  native    32    1   131072     32    1.4267     376.3    84.0%
  131072   1024 bf16  smem  native    32    4   131072    128    1.4151     379.4    84.7%
  131072   1024 bf16  smem  native    32   16   131072    512    1.4948     359.2    80.2%
